#Q2     CMR     E1      E2      Author
0.04    3.      0.27    0.8     Adam
0.09    3.5     0.2     0.8     Adam
0.13    4.8     0.19    0.8     Adam
0.06    4.81    0.27    0.26    mami(4. 0.27 0.26 was unpublished)
0.127   5.25    0.61    0.3     mami
0.2     5.09    0.28    0.3     mami
0.2     4.4     1.0     0      photon
1.      6.61    0.18    0.      kelly
0.127   6.1     0.2     0.5     bates
0.16    4.7     0.2     0.1     clas
0.2     4.7     0.2     0.3     clas      
0.24    4.6     0.3     0.1     clas
0.28    5.5     0.3     0.1     clas
0.3     5.2     0.2     0.2     clas
0.32    5.7     0.3     0.2     clas
0.36    5.4     0.3     0.2     clas
0.4     5.      0.2     0.4     clas
0.525   5.8     0.3     0.3     clas
0.65    6.6     0.4     0.4     clas
0.75    7.0     0.4     0.4     clas
0.9     8.4     0.5     0.3     clas
1.15    8.4     0.5     0.4     clas
1.45    10.1    0.8     0.5     clas
3.0     12.0    0.6     0.6     clas
3.5     12.6    0.8     0.4     clas
4.2     16.5    1.3     0.8     clas
5.0     25.9    2.7     1.7     clas
6.0     25.9    5.3     3.8     clas
6.36    22.3    4.4     3.4     hallc

