#Q2     CMR     E1      E2      Author
0.06    3.5     0.3     0.5    Adam
0.05    3.5     0.3     0.5    Adam
0.04    3.5     0.3     0.5    Adam
0.03    3.0     0.43    0.5    Adam
0.025   3.0     0.55    0.5    Adam
0.02    3.0     0.55    0.5    Adam
0.015   3.0     0.7     0.4    Adam
0.04    3.      0.27    0.8    Adam
0.09    3.5     0.2     0.8    Adam
0.13    4.8     0.19    0.8    Adam
0.2     5.09    0.28    0.3    mami
0.06    4.0     0.27    0.26   mami(4.81changedto4.0)
0.127   5.25    0.61    0.3    mami
0.2     4.4     1.0     0      photon
