#Q2      EMR      E1    E2    author 
0.      -2.5      0.5     0.      photon
0.09    -2.5      0.5     0.5     adam
0.13    -1.9      0.5     0.5     adam
0.06    -2.28     0.29    0.2     stave
0.2     -1.96     0.68    0.41    stave
0.16    -1.9      0.1     0.2    clas     
0.2     -1.8      0.2     0.2    clas
0.24    -2.2      0.2     0.1    clas
0.28    -1.8      0.2     0.2    clas
0.3     -2.1      0.2     0.1    clas
0.32    -1.8      0.2     0.2    clas
0.36    -1.7      0.3     0.2    clas
0.4     -2.7      0.2     0.3    clas
0.525   -2.2      0.3     0.2    clas
0.65    -1.7      0.4     0.3    clas
0.75    -2.1      0.4     0.2    clas
0.9     -2.2      0.5     0.3    clas
1.15    -2.3      0.6     0.4    clas
1.45    -2.5      0.7     0.2    clas
3.0     -2.0      0.4     0.4    clas
3.5     -1.5      0.5     0.5    clas
4.2     -2.6      0.8     0.4    clas
5.0     -2.7      1.5     0.6    clas
6.0     -2.8      2.6     1.7    clas
6.36    -1.7      1.9     1.6    hallc
1.      -2.87     0.19    0.      kelly
